komentar,label,komentar_cleaned_p1,tokenized_text_p2,text_slang_p2,text_slang_str_p2,text_stopword_p2,text_stemmed_p2
Wapress ngantuk,0,wapress ngantuk,"['wapress', 'ngantuk']","['wapress', 'ngantuk']",wapress ngantuk,wapress ngantuk,wapress ngantuk
makasih betul admin sahabat sahabat saya udah membujuk pula buat bermain di mandalika77 gacir akut,1,makasih betul admin sahabat sahabat saya udah membujuk pula buat bermain di mandalika77 gacir akut,"['makasih', 'betul', 'admin', 'sahabat', 'sahabat', 'saya', 'udah', 'membujuk', 'pula', 'buat', 'bermain', 'di', 'mandalika77', 'gacir', 'akut']","['makasih', 'betul', 'admin', 'sahabat', 'sahabat', 'saya', 'sudah', 'membujuk', 'pula', 'buat', 'bermain', 'di', 'mandalika77', 'gacir', 'akut']",makasih betul admin sahabat sahabat saya sudah membujuk pula buat bermain di mandalika77 gacir akut,makasih admin sahabat sahabat membujuk bermain mandalika77 gacir akut,makasih admin sahabat sahabat bujuk main mandalika77 gacir akut
emang gak se-jujur alexis17 deh .,1,emang gak se jujur alexis17 deh,"['emang', 'gak', 'se', 'jujur', 'alexis17', 'deh']","['emang', 'tidak', 'se', 'jujur', 'alexis17', 'deh']",emang tidak se jujur alexis17 deh,emang jujur alexis17 deh,emang jujur alexis17 deh
"gameplay keren banget ! skill dewa nih , alexis17 bangga .",1,gameplay keren banget skill dewa nih alexis17 bangga,"['gameplay', 'keren', 'banget', 'skill', 'dewa', 'nih', 'alexis17', 'bangga']","['gameplay', 'keren', 'banget', 'skill', 'dewa', 'nih', 'alexis17', 'bangga']",gameplay keren banget skill dewa nih alexis17 bangga,gameplay keren banget skill dewa nih alexis17 bangga,gameplay keren banget skill dewa nih alexis17 bangga
"modal receh , gacor banget sampe makswin",1,modal receh gacor banget sampe makswin,"['modal', 'receh', 'gacor', 'banget', 'sampe', 'makswin']","['modal', 'receh', 'gacor', 'banget', 'sampe', 'makswin']",modal receh gacor banget sampe makswin,modal receh gacor banget sampe makswin,modal receh gacor banget sampe makswin
Gak perlu pusing mikirin duit kalo udah gabung ALEXIS⭐17⭐.,1,gak perlu pusing mikirin duit kalo udah gabung alexis17,"['gak', 'perlu', 'pusing', 'mikirin', 'duit', 'kalo', 'udah', 'gabung', 'alexis17']","['tidak', 'perlu', 'pusing', 'mikirin', 'duit', 'kalo', 'sudah', 'gabung', 'alexis17']",tidak perlu pusing mikirin duit kalo sudah gabung alexis17,pusing mikirin duit kalo gabung alexis17,pusing mikirin duit kalo gabung alexis17
Akhirrrnyaaa bagus konten abang !! luar biasa coba main di ⭐ 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 ⭐,1,akhirrrnyaaa bagus konten abang luar biasa coba main di berkah99,"['akhirrrnyaaa', 'bagus', 'konten', 'abang', 'luar', 'biasa', 'coba', 'main', 'di', 'berkah99']","['akhirrrnyaaa', 'bagus', 'konten', 'abang', 'luar', 'biasa', 'coba', 'main', 'di', 'berkah99']",akhirrrnyaaa bagus konten abang luar biasa coba main di berkah99,akhirrrnyaaa bagus konten abang coba main berkah99,akhirrrnyaaa bagus konten abang coba main berkah99
dah nunggu nih,0,dah nunggu nih,"['dah', 'nunggu', 'nih']","['sudah', 'nunggu', 'nih']",sudah nunggu nih,nunggu nih,nunggu nih
tunggu kemaren gua udah cobain 𝒉𝒐𝒌𝒊777 manteb banget,1,tunggu kemaren gua udah cobain hoki777 manteb banget,"['tunggu', 'kemaren', 'gua', 'udah', 'cobain', 'hoki777', 'manteb', 'banget']","['tunggu', 'kemaren', 'gua', 'sudah', 'cobain', 'hoki777', 'manteb', 'banget']",tunggu kemaren gua sudah cobain hoki777 manteb banget,tunggu kemaren gua cobain hoki777 manteb banget,tunggu kemaren gua cobain hoki777 manteb banget
"bro alexis17 ! turnamen gede nih , hadiahnya mobil sport",1,bro alexis17 turnamen gede nih hadiahnya mobil sport,"['bro', 'alexis17', 'turnamen', 'gede', 'nih', 'hadiahnya', 'mobil', 'sport']","['bro', 'alexis17', 'turnamen', 'gede', 'nih', 'hadiahnya', 'mobil', 'sport']",bro alexis17 turnamen gede nih hadiahnya mobil sport,bro alexis17 turnamen gede nih hadiahnya mobil sport,bro alexis17 turnamen gede nih hadiah mobil sport
"Saya sangat malu, mempunyai wapres seperti anda",0,saya sangat malu mempunyai wapres seperti anda,"['saya', 'sangat', 'malu', 'mempunyai', 'wapres', 'seperti', 'anda']","['saya', 'sangat', 'malu', 'mempunyai', 'wapres', 'seperti', 'anda']",saya sangat malu mempunyai wapres seperti anda,malu wapres,malu wapres
hbd yogjakarta... salam dari ponorogo kota reog...,0,hbd yogjakarta salam dari ponorogo kota reog,"['hbd', 'yogjakarta', 'salam', 'dari', 'ponorogo', 'kota', 'reog']","['hbd', 'yogjakarta', 'salam', 'dari', 'ponorogo', 'kota', 'reog']",hbd yogjakarta salam dari ponorogo kota reog,hbd yogjakarta salam ponorogo kota reog,hbd yogjakarta salam ponorogo kota reog
makasih mandalika77 berkah kamu beres 2 pinjol aku sisa 1 lagi ngengngengngeng semangaaat,1,makasih mandalika77 berkah kamu beres 2 pinjol aku sisa 1 lagi ngengngengngeng semangaaat,"['makasih', 'mandalika77', 'berkah', 'kamu', 'beres', '2', 'pinjol', 'aku', 'sisa', '1', 'lagi', 'ngengngengngeng', 'semangaaat']","['makasih', 'mandalika77', 'berkah', 'kamu', 'beres', '2', 'pinjol', 'aku', 'sisa', '1', 'lagi', 'ngengngengngeng', 'semangaaat']",makasih mandalika77 berkah kamu beres 2 pinjol aku sisa 1 lagi ngengngengngeng semangaaat,makasih mandalika77 berkah beres 2 pinjol sisa 1 ngengngengngeng semangaaat,makasih mandalika77 berkah beres 2 pinjol sisa 1 ngengngengngeng semangaaat
"λ l e x i s 1 7 , bikin maxwin gampang",1,llexis 1 7 bikin maxwin gampang,"['llexis', '1', '7', 'bikin', 'maxwin', 'gampang']","['llexis', '1', '7', 'bikin', 'maxwin', 'gampang']",llexis 1 7 bikin maxwin gampang,llexis 1 7 bikin maxwin gampang,llexis 1 7 bikin maxwin gampang
Mobil china bagus2 ya semua modelnya aneh2,0,mobil china bagus2 ya semua modelnya aneh2,"['mobil', 'china', 'bagus2', 'ya', 'semua', 'modelnya', 'aneh2']","['mobil', 'china', 'bagus2', 'ya', 'semua', 'modelnya', 'aneh2']",mobil china bagus2 ya semua modelnya aneh2,mobil china bagus2 ya modelnya aneh2,mobil china bagus2 ya model aneh2
jumat depan gamungkin dong ziko lagi yg inframe 😅,0,jumat depan gamungkin dong ziko lagi yg inframe,"['jumat', 'depan', 'gamungkin', 'dong', 'ziko', 'lagi', 'yg', 'inframe']","['jumat', 'depan', 'gamungkin', 'dong', 'ziko', 'lagi', 'yg', 'inframe']",jumat depan gamungkin dong ziko lagi yg inframe,jumat gamungkin ziko yg inframe,jumat gamungkin ziko yg inframe
Duet Anies-Ahok adalah impian....,0,duet anies ahok adalah impian,"['duet', 'anies', 'ahok', 'adalah', 'impian']","['duet', 'anies', 'ahok', 'adalah', 'impian']",duet anies ahok adalah impian,duet anies ahok impian,duet anies ahok impi
rame cah,0,rame cah,"['rame', 'cah']","['rame', 'cah']",rame cah,rame cah,rame cah
aku ngelak golek es teh ra ono sek liwat:face-blue-smiling:,0,aku ngelak golek es teh ra ono sek liwat face blue smiling,"['aku', 'ngelak', 'golek', 'es', 'teh', 'ra', 'ono', 'sek', 'liwat', 'face', 'blue', 'smiling']","['aku', 'ngelak', 'golek', 'es', 'teh', 'ra', 'ono', 'sek', 'liwat', 'face', 'blue', 'smiling']",aku ngelak golek es teh ra ono sek liwat face blue smiling,ngelak golek es teh ra ono sek liwat face blue smiling,ngelak golek es teh ra ono sek liwat face blue smiling
"situs terbesar kebanggan gw , alexis17",1,situs terbesar kebanggan gw alexis17,"['situs', 'terbesar', 'kebanggan', 'gw', 'alexis17']","['situs', 'terbesar', 'kebanggan', 'saya', 'alexis17']",situs terbesar kebanggan saya alexis17,situs terbesar kebanggan alexis17,situs besar banggan alexis17
"gaes , gimana pakainya si 𝘼𝙇𝙀𝙓𝙄𝙎17 ?",1,gaes gimana pakainya si alexis17,"['gaes', 'gimana', 'pakainya', 'si', 'alexis17']","['gaes', 'gimana', 'pakainya', 'si', 'alexis17']",gaes gimana pakainya si alexis17,gaes gimana pakainya si alexis17,gaes gimana pakai si alexis17
Di tanya draft RUU TNI jawabnya mencla mencle Wkwkw,0,di tanya draft ruu tni jawabnya mencla mencle wkwkw,"['di', 'tanya', 'draft', 'ruu', 'tni', 'jawabnya', 'mencla', 'mencle', 'wkwkw']","['di', 'tanya', 'draft', 'ruu', 'tni', 'jawabnya', 'mencla', 'mencle', 'wkwkw']",di tanya draft ruu tni jawabnya mencla mencle wkwkw,draft ruu tni mencla mencle wkwkw,draft ruu tni mencla mencle wkwkw
Gw langsung otw beli KOPI KAPAL AIR,0,gw langsung otw beli kopi kapal air,"['gw', 'langsung', 'otw', 'beli', 'kopi', 'kapal', 'air']","['saya', 'langsung', 'otw', 'beli', 'kopi', 'kapal', 'air']",saya langsung otw beli kopi kapal air,langsung otw beli kopi kapal air,langsung otw beli kopi kapal air
bang itu yang jual bakso dimana ?,0,bang itu yang jual bakso dimana,"['bang', 'itu', 'yang', 'jual', 'bakso', 'dimana']","['bang', 'itu', 'yang', 'jual', 'bakso', 'dimana']",bang itu yang jual bakso dimana,bang jual bakso dimana,bang jual bakso mana
Bang update perkembangan garasi baru nya dong,0,bang update perkembangan garasi baru nya dong,"['bang', 'update', 'perkembangan', 'garasi', 'baru', 'nya', 'dong']","['bang', 'update', 'perkembangan', 'garasi', 'baru', 'nya', 'dong']",bang update perkembangan garasi baru nya dong,bang update perkembangan garasi nya,bang update kembang garasi nya
Pengen cepat kaya? Langsung coba di 𝐴𝐗𝐿𝟳𝟳𝟩dan rasain jakpotnya!,1,pengen cepat kaya langsung coba di axl777dan rasain jakpotnya,"['pengen', 'cepat', 'kaya', 'langsung', 'coba', 'di', 'axl777dan', 'rasain', 'jakpotnya']","['ingin', 'cepat', 'kaya', 'langsung', 'coba', 'di', 'axl777dan', 'rasain', 'jakpotnya']",ingin cepat kaya langsung coba di axl777dan rasain jakpotnya,cepat kaya langsung coba axl777dan rasain jakpotnya,cepat kaya langsung coba axl777dan rasain jakpotnya
terima kasih min alexis17 wede 8.000.000 masuk,1,terima kasih min alexis17 wede 8 ooo ooo masuk,"['terima', 'kasih', 'min', 'alexis17', 'wede', '8', 'ooo', 'ooo', 'masuk']","['terima', 'kasih', 'min', 'alexis17', 'wede', '8', 'ooo', 'ooo', 'masuk']",terima kasih min alexis17 wede 8 ooo ooo masuk,terima kasih min alexis17 wede 8 ooo ooo masuk,terima kasih min alexis17 wede 8 ooo ooo masuk
"jakpot bikin seru , 𝘿𝘖я𝐀𝟳𝟽 !",1,jakpot bikin seru doiaa77,"['jakpot', 'bikin', 'seru', 'doiaa77']","['jakpot', 'bikin', 'seru', 'doiaa77']",jakpot bikin seru doiaa77,jakpot bikin seru doiaa77,jakpot bikin seru doiaa77
"Gak rame-ramean, tapi dalem banget. ❤️ 𝑷𝑼𝑳𝑨𝑼𝑾𝑰𝑵 ❤️",1,gak rame ramean tapi dalem banget pulauwin,"['gak', 'rame', 'ramean', 'tapi', 'dalem', 'banget', 'pulauwin']","['tidak', 'rame', 'ramean', 'tapi', 'dalem', 'banget', 'pulauwin']",tidak rame ramean tapi dalem banget pulauwin,rame ramean dalem banget pulauwin,rame ramean dalem banget pulauwin
Bermanfaat,0,bermanfaat,['bermanfaat'],['bermanfaat'],bermanfaat,bermanfaat,manfaat
Salfok zenix setinggi konde doang,0,salfok zenix setinggi konde doang,"['salfok', 'zenix', 'setinggi', 'konde', 'doang']","['salah fokus', 'zenix', 'setinggi', 'konde', 'doang']",salah fokus zenix setinggi konde doang,salah fokus zenix konde doang,salah fokus zenix konde doang
Pak prabowo mohon jgn kecewa kami,0,pak prabowo mohon jgn kecewa kami,"['pak', 'prabowo', 'mohon', 'jgn', 'kecewa', 'kami']","['pak', 'prabowo', 'mohon', 'jangan', 'kecewa', 'kami']",pak prabowo mohon jangan kecewa kami,prabowo mohon kecewa,prabowo mohon kecewa
apalah pipit nih,0,apalah pipit nih,"['apalah', 'pipit', 'nih']","['apalah', 'pipit', 'nih']",apalah pipit nih,apalah pipit nih,apa pipit nih
09:10 Penataannya keren banget! 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵,1,o9 1o penataannya keren banget berkah99,"['o9', '1o', 'penataannya', 'keren', 'banget', 'berkah99']","['o9', '1o', 'penataannya', 'keren', 'banget', 'berkah99']",o9 1o penataannya keren banget berkah99,o9 1o penataannya keren banget berkah99,o9 1o tata keren banget berkah99
eh cangkeman ngomong nya mbak Watik 😅,0,eh cangkeman ngomong nya mbak watik,"['eh', 'cangkeman', 'ngomong', 'nya', 'mbak', 'watik']","['eh', 'cangkeman', 'ngomong', 'nya', 'mbak', 'watik']",eh cangkeman ngomong nya mbak watik,eh cangkeman ngomong nya mbak watik,eh cangkeman ngomong nya mbak watik
Ka kita sepemikiran,0,ka kita sepemikiran,"['ka', 'kita', 'sepemikiran']","['ka', 'kita', 'sepemikiran']",ka kita sepemikiran,ka sepemikiran,ka pikir
halo pak uno,0,halo pak uno,"['halo', 'pak', 'uno']","['halo', 'pak', 'uno']",halo pak uno,halo uno,halo uno
"a l e x i s 1 7 emang top dah , ga bikin kecewa sampe jaman",1,alexis 1 7 emang top dah ga bikin kecewa sampe jaman,"['alexis', '1', '7', 'emang', 'top', 'dah', 'ga', 'bikin', 'kecewa', 'sampe', 'jaman']","['alexis', '1', '7', 'emang', 'top', 'sudah', 'tidak', 'bikin', 'kecewa', 'sampe', 'jaman']",alexis 1 7 emang top sudah tidak bikin kecewa sampe jaman,alexis 1 7 emang top bikin kecewa sampe jaman,alexis 1 7 emang top bikin kecewa sampe jaman
"uτang 𝙠elar 𝙜ara-gara maiп ԁi 𝐃o𝑅а𝟽7 , asⅼi gacir 𝙗anget !",1,utang kelar gara gara maip i dora77 asli gacir banget,"['utang', 'kelar', 'gara', 'gara', 'maip', 'i', 'dora77', 'asli', 'gacir', 'banget']","['utang', 'kelar', 'gara', 'gara', 'maip', 'i', 'dora77', 'asli', 'gacir', 'banget']",utang kelar gara gara maip i dora77 asli gacir banget,utang kelar gara gara maip dora77 asli gacir banget,utang kelar gara gara maip dora77 asli gacir banget
Bang.. Hp Nubia v70 cb review.. Hp d bwh 2 jt,0,bang hp nubia v7o cb review hp d bwh 2 jt,"['bang', 'hp', 'nubia', 'v7o', 'cb', 'review', 'hp', 'd', 'bwh', '2', 'jt']","['bang', 'hp', 'nubia', 'v7o', 'cb', 'review', 'hp', 'd', 'bwh', '2', 'jt']",bang hp nubia v7o cb review hp d bwh 2 jt,bang hp nubia v7o cb review hp bwh 2 jt,bang hp nubia v7o cb review hp bwh 2 jt
​ @juju3907 coba dong jelasin bang jago,0,juju39o7 coba dong jelasin bang jago,"['juju39o7', 'coba', 'dong', 'jelasin', 'bang', 'jago']","['juju39o7', 'coba', 'dong', 'jelasin', 'bang', 'jago']",juju39o7 coba dong jelasin bang jago,juju39o7 coba jelasin bang jago,juju39o7 coba jelasin bang jago
terima kasi rezekinya 𝐒𝐆𝐈𝟖𝟖,1,terima kasi rezekinya sgi88,"['terima', 'kasi', 'rezekinya', 'sgi88']","['terima', 'kasi', 'rezekinya', 'sgi88']",terima kasi rezekinya sgi88,terima kasi rezekinya sgi88,terima kasi rezeki sgi88
"anjay , rame banget nih 𝘼𝙇𝙀𝙓𝙄𝙎17 tongkrongan .",1,anjay rame banget nih alexis17 tongkrongan,"['anjay', 'rame', 'banget', 'nih', 'alexis17', 'tongkrongan']","['anjay', 'rame', 'banget', 'nih', 'alexis17', 'tongkrongan']",anjay rame banget nih alexis17 tongkrongan,anjay rame banget nih alexis17 tongkrongan,anjay rame banget nih alexis17 tongkrong
Satu lagi...Feri Amsari.,0,satu lagi feri amsari,"['satu', 'lagi', 'feri', 'amsari']","['satu', 'lagi', 'feri', 'amsari']",satu lagi feri amsari,feri amsari,feri amsari
Santai di rumah tapi feel-nya dapet banget bareng 𝙋𝙐𝙇𝘼𝙐𝙒𝙄𝙉.,1,santai di rumah tapi feel nya dapet banget bareng pulauwin,"['santai', 'di', 'rumah', 'tapi', 'feel', 'nya', 'dapet', 'banget', 'bareng', 'pulauwin']","['santai', 'di', 'rumah', 'tapi', 'feel', 'nya', 'dapet', 'banget', 'bareng', 'pulauwin']",santai di rumah tapi feel nya dapet banget bareng pulauwin,santai rumah feel nya dapet banget bareng pulauwin,santai rumah feel nya dapet banget bareng pulauwin
gimana pakainya si 𝘼𝙇𝙀𝙓𝙄𝙎17 ?,1,gimana pakainya si alexis17,"['gimana', 'pakainya', 'si', 'alexis17']","['gimana', 'pakainya', 'si', 'alexis17']",gimana pakainya si alexis17,gimana pakainya si alexis17,gimana pakai si alexis17
Lagi fly bang?,0,lagi fly bang,"['lagi', 'fly', 'bang']","['lagi', 'fly', 'bang']",lagi fly bang,fly bang,fly bang
kang semir lagi jam gacirr nihh22:25 BЦKIƬ888,1,kang semir lagi jam gacirr nihh22 25 btskit888,"['kang', 'semir', 'lagi', 'jam', 'gacirr', 'nihh22', '25', 'btskit888']","['kang', 'semir', 'lagi', 'jam', 'gacirr', 'nihh22', '25', 'btskit888']",kang semir lagi jam gacirr nihh22 25 btskit888,kang semir jam gacirr nihh22 25 btskit888,kang semir jam gacirr nihh22 25 btskit888
hidup lo cerah disinarin cuan pu lau tujuh tujuh tujuh .,1,hidup lo cerah disinarin cuan pu lau tujuh tujuh tujuh,"['hidup', 'lo', 'cerah', 'disinarin', 'cuan', 'pu', 'lau', 'tujuh', 'tujuh', 'tujuh']","['hidup', 'kamu', 'cerah', 'disinarin', 'cuan', 'pu', 'lau', 'tujuh', 'tujuh', 'tujuh']",hidup kamu cerah disinarin cuan pu lau tujuh tujuh tujuh,hidup cerah disinarin cuan pu lau tujuh tujuh tujuh,hidup cerah disinarin cuan pu lau tujuh tujuh tujuh
 @sunnysun7064  AHOK AGUAN Cocok Udah Akrab Dari Zaman Proyek Proyek DKI,0,sunnysun7o64 ahok aguan cocok udah akrab dari zaman proyek proyek dki,"['sunnysun7o64', 'ahok', 'aguan', 'cocok', 'udah', 'akrab', 'dari', 'zaman', 'proyek', 'proyek', 'dki']","['sunnysun7o64', 'ahok', 'aguan', 'cocok', 'sudah', 'akrab', 'dari', 'zaman', 'proyek', 'proyek', 'dki']",sunnysun7o64 ahok aguan cocok sudah akrab dari zaman proyek proyek dki,sunnysun7o64 ahok aguan cocok akrab zaman proyek proyek dki,sunnysun7o64 ahok aguan cocok akrab zaman proyek proyek dki
tau rahasia sukses ? : alexis 17,1,tau rahasia sukses alexis 17,"['tau', 'rahasia', 'sukses', 'alexis', '17']","['tahu', 'rahasia', 'sukses', 'alexis', '17']",tahu rahasia sukses alexis 17,rahasia sukses alexis 17,rahasia sukses alexis 17
di sediakan toilet bos di setiap sisi,0,di sediakan toilet bos di setiap sisi,"['di', 'sediakan', 'toilet', 'bos', 'di', 'setiap', 'sisi']","['di', 'sediakan', 'toilet', 'bos', 'di', 'setiap', 'sisi']",di sediakan toilet bos di setiap sisi,sediakan toilet bos sisi,sedia toilet bos sisi
Presiden Prabowo menjawab dengan bantahan. 😂,0,presiden prabowo menjawab dengan bantahan,"['presiden', 'prabowo', 'menjawab', 'dengan', 'bantahan']","['presiden', 'prabowo', 'menjawab', 'dengan', 'bantahan']",presiden prabowo menjawab dengan bantahan,presiden prabowo bantahan,presiden prabowo bantah
"Buset videonya sih gokil,⭐𝘼𝙇𝙀𝙓𝙄𝙎17",1,buset videonya sih gokil alexis17,"['buset', 'videonya', 'sih', 'gokil', 'alexis17']","['buset', 'videonya', 'sih', 'gokil', 'alexis17']",buset videonya sih gokil alexis17,buset videonya sih gokil alexis17,buset video sih gokil alexis17
GES JANGAN NYOBA SEARCH GOOGLE PULAU777 YA!,1,ges jangan nyoba search google pulau777 ya,"['ges', 'jangan', 'nyoba', 'search', 'google', 'pulau777', 'ya']","['ges', 'jangan', 'nyoba', 'search', 'google', 'pulau777', 'ya']",ges jangan nyoba search google pulau777 ya,ges nyoba search google pulau777 ya,ges nyoba search google pulau777 ya
Emang ada presiden sebelum ini yang pernah diwawancara???,0,emang ada presiden sebelum ini yang pernah diwawancara,"['emang', 'ada', 'presiden', 'sebelum', 'ini', 'yang', 'pernah', 'diwawancara']","['emang', 'ada', 'presiden', 'sebelum', 'ini', 'yang', 'pernah', 'diwawancara']",emang ada presiden sebelum ini yang pernah diwawancara,emang presiden diwawancara,emang presiden wawancara
fitnah apa fakta nih?,0,fitnah apa fakta nih,"['fitnah', 'apa', 'fakta', 'nih']","['fitnah', 'apa', 'fakta', 'nih']",fitnah apa fakta nih,fitnah fakta nih,fitnah fakta nih
"mantap ! bermain 𝗦𝗚𝗜𝟴𝟴 , rezeki mengalir deras !",1,mantap bermain sgi88 rezeki mengalir deras,"['mantap', 'bermain', 'sgi88', 'rezeki', 'mengalir', 'deras']","['mantap', 'bermain', 'sgi88', 'rezeki', 'mengalir', 'deras']",mantap bermain sgi88 rezeki mengalir deras,mantap bermain sgi88 rezeki mengalir deras,mantap main sgi88 rezeki alir deras
"sabar lahhh , lu kira itu doang kerjaan mereka",0,sabar lahhh lu kira itu doang kerjaan mereka,"['sabar', 'lahhh', 'lu', 'kira', 'itu', 'doang', 'kerjaan', 'mereka']","['sabar', 'lahhh', 'kamu', 'kira', 'itu', 'doang', 'kerjaan', 'mereka']",sabar lahhh kamu kira itu doang kerjaan mereka,sabar lahhh doang kerjaan,sabar lahhh doang kerja
"Turbonya di mana bang ???
Serius tanya...",0,turbonya di mana bang serius tanya,"['turbonya', 'di', 'mana', 'bang', 'serius', 'tanya']","['turbonya', 'di', 'mana', 'bang', 'serius', 'tanya']",turbonya di mana bang serius tanya,turbonya bang serius,turbonya bang serius
"𝖒𝖆𝖓𝖉𝖆𝖑𝖎k𝖆77 itu tempatnya para jagoan judi, jadi lu nggak cuma main, tapi juga bisa belajar dari yang pro!",1,mandalika77 itu tempatnya para jagoan judi jadi lu nggak cuma main tapi juga bisa belajar dari yang pro,"['mandalika77', 'itu', 'tempatnya', 'para', 'jagoan', 'judi', 'jadi', 'lu', 'nggak', 'cuma', 'main', 'tapi', 'juga', 'bisa', 'belajar', 'dari', 'yang', 'pro']","['mandalika77', 'itu', 'tempatnya', 'para', 'jagoan', 'judi', 'jadi', 'kamu', 'tidak', 'cuma', 'main', 'tapi', 'juga', 'bisa', 'belajar', 'dari', 'yang', 'pro']",mandalika77 itu tempatnya para jagoan judi jadi kamu tidak cuma main tapi juga bisa belajar dari yang pro,mandalika77 tempatnya jagoan judi main belajar pro,mandalika77 tempat jago judi main ajar pro
Semua orang bilang ALEXIS⭐17⭐ tuh bener-bener ngebantu keuangan.,1,semua orang bilang alexis17 tuh bener bener ngebantu keuangan,"['semua', 'orang', 'bilang', 'alexis17', 'tuh', 'bener', 'bener', 'ngebantu', 'keuangan']","['semua', 'orang', 'bilang', 'alexis17', 'tuh', 'bener', 'bener', 'ngebantu', 'keuangan']",semua orang bilang alexis17 tuh bener bener ngebantu keuangan,orang bilang alexis17 tuh bener bener ngebantu keuangan,orang bilang alexis17 tuh bener bener ngebantu uang
A marwin raptor nyunda pisan euyy haha resep ieu ngadangu na 😂,0,a marwin raptor nyunda pisan euyy haha resep ieu ngadangu na,"['a', 'marwin', 'raptor', 'nyunda', 'pisan', 'euyy', 'haha', 'resep', 'ieu', 'ngadangu', 'na']","['a', 'marwin', 'raptor', 'nyunda', 'pisan', 'euyy', 'haha', 'resep', 'ieu', 'ngadangu', 'na']",a marwin raptor nyunda pisan euyy haha resep ieu ngadangu na,marwin raptor nyunda pisan euyy haha resep ieu ngadangu na,marwin raptor nyunda pis euyy haha resep ieu ngadangu na
ghacoorr nya kelewatan sumpah-ga ru da ho ki,1,ghacoorr nya kelewatan sumpah ga ru da ho ki,"['ghacoorr', 'nya', 'kelewatan', 'sumpah', 'ga', 'ru', 'da', 'ho', 'ki']","['ghacoorr', 'nya', 'kelewatan', 'sumpah', 'tidak', 'ru', 'da', 'ho', 'ki']",ghacoorr nya kelewatan sumpah tidak ru da ho ki,ghacoorr nya kelewatan sumpah ru da ho ki,ghacoorr nya lewat sumpah ru da ho ki
Spill mobilnya dipo dong,0,spill mobilnya dipo dong,"['spill', 'mobilnya', 'dipo', 'dong']","['spill', 'mobilnya', 'dipo', 'dong']",spill mobilnya dipo dong,spill mobilnya dipo,spill mobil dipo
Diparkiran luar fortunernya ga dibahas😅,0,diparkiran luar fortunernya ga dibahas,"['diparkiran', 'luar', 'fortunernya', 'ga', 'dibahas']","['diparkiran', 'luar', 'fortunernya', 'tidak', 'dibahas']",diparkiran luar fortunernya tidak dibahas,diparkiran fortunernya dibahas,parkir fortunernya bahas
anjayyy mas Fatih,0,anjayyy mas fatih,"['anjayyy', 'mas', 'fatih']","['anjayyy', 'mas', 'fatih']",anjayyy mas fatih,anjayyy mas fatih,anjayyy mas fatih
orang bilang alexis17 tuh blessing banget !,1,orang bilang alexis17 tuh blessing banget,"['orang', 'bilang', 'alexis17', 'tuh', 'blessing', 'banget']","['orang', 'bilang', 'alexis17', 'tuh', 'blessing', 'banget']",orang bilang alexis17 tuh blessing banget,orang bilang alexis17 tuh blessing banget,orang bilang alexis17 tuh blessing banget
sehat kang semngat ngonten dilancarkan urusannya salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,1,sehat kang semngat ngonten dilancarkan urusannya salam weton88,"['sehat', 'kang', 'semngat', 'ngonten', 'dilancarkan', 'urusannya', 'salam', 'weton88']","['sehat', 'kang', 'semngat', 'ngonten', 'dilancarkan', 'urusannya', 'salam', 'weton88']",sehat kang semngat ngonten dilancarkan urusannya salam weton88,sehat kang semngat ngonten dilancarkan urusannya salam weton88,sehat kang semngat ngonten lancar urus salam weton88
Gue rela ninggalin nongkrong demi fokus di ALEXIS⭐17⭐.,1,gue rela ninggalin nongkrong demi fokus di alexis17,"['gue', 'rela', 'ninggalin', 'nongkrong', 'demi', 'fokus', 'di', 'alexis17']","['saya', 'rela', 'ninggalin', 'nongkrong', 'demi', 'fokus', 'di', 'alexis17']",saya rela ninggalin nongkrong demi fokus di alexis17,rela ninggalin nongkrong fokus alexis17,rela ninggalin nongkrong fokus alexis17
"nga kelihatan soalnya di rame "" an",0,nga kelihatan soalnya di rame an,"['nga', 'kelihatan', 'soalnya', 'di', 'rame', 'an']","['nga', 'kelihatan', 'soalnya', 'di', 'rame', 'an']",nga kelihatan soalnya di rame an,nga rame,nga rame
"swert bonanja gacir , wede 5 juta",1,swert bonanja gacir wede 5 juta,"['swert', 'bonanja', 'gacir', 'wede', '5', 'juta']","['swert', 'bonanja', 'gacir', 'wede', '5', 'juta']",swert bonanja gacir wede 5 juta,swert bonanja gacir wede 5 juta,swert bonanja gacir wede 5 juta
"𝘋𝐄𝘞𝐀𝐃O𝐑𝘈, beneran gacor",1,dewadora beneran gacor,"['dewadora', 'beneran', 'gacor']","['dewadora', 'beneran', 'gacor']",dewadora beneran gacor,dewadora beneran gacor,dewadora beneran gacor
Nunggu harga 3jt wifi only,0,nunggu harga 3jt wifi only,"['nunggu', 'harga', '3jt', 'wifi', 'only']","['nunggu', 'harga', '3jt', 'wifi', 'only']",nunggu harga 3jt wifi only,nunggu harga 3jt wifi,nunggu harga 3jt wifi
